Table 130-06613A : Median monthly household income (excluding Chinese New Year bonus/double pay) by type of housing (excluding foreign domestic helpers),,,,,
 ,,,,,
 , ,Median monthly household income (excluding Chinese New Year bonus/double pay) (excluding foreign domestic helpers) (1) (2) (3),Median monthly household income (excluding Chinese New Year bonus/double pay) (excluding foreign domestic helpers) (1) (2) (3),Median monthly household income (excluding Chinese New Year bonus/double pay) (excluding foreign domestic helpers) (1) (2) (3),Median monthly household income (excluding Chinese New Year bonus/double pay) (excluding foreign domestic helpers) (1) (2) (3)
,,HK$,HK$,HK$,HK$
Type of housing (4),,Public rental housing,Subsidised home ownership housing (5),Private permanent housing (6),Overall
Year,Quarter,,,,
2021,Q1,17400,25200,36000,26000
2022,Q1,18400,27100,37000,27400
2023,Q1,19500,27100,38700,28700
 ,,,,,
Note(s):,,,,,
Number of median monthly household incomes are rounded to the nearest hundred.,,,,,
"1 Monthly household income refers to the total cash income, including earnings (before deduction of Mandatory Provident Fund contributions) from all jobs and other cash income received in the month before enumeration by all members of the household. Other cash income includes income generated from rent income, interest, dividends, regular/monthly pensions and insurance annuity benefits, regular contribution from persons outside the household, regular contribution from charities and all government subsidies.",,,,,
"2 Domestic household consists of a group of persons who live together and make common provision for essentials for living. These persons need not be related. If a person makes provision for essentials for living without sharing with other persons, he/she is also regarded as a household. In this case, the household is a one-person household. Households comprising only non-Hong Kong residents or Mobile Residents are not classified as domestic households.",,,,,
3 Median monthly household income (excluding Chinese New Year bonus/double pay) (excluding foreign domestic helpers),,,,,
4 Includes temporary housing.,,,,,
"5 Subsidised home ownership housing includes flats built under the Home Ownership Scheme, Middle Income Housing Scheme, Private Sector Participation Scheme, Green Form Subsidised Home Ownership Scheme, Buy or Rent Option Scheme and Mortgage Subsidy Scheme, and flats sold under the Tenants Purchase Scheme of the Hong Kong Housing Authority. Also includes flats built under the Flat for Sale Scheme, Sandwich Class Housing Scheme and Subsidised Sale Flats Projects of the Hong Kong Housing Society; and flats in Urban Renewal Authority Subsidised Sale Flats Scheme. As from 1st quarter 2002, subsidised sale flats that can be traded in open market are excluded.",,,,,
"6 Private permanent housing includes private housing blocks, flats built under the Urban Improvement Scheme of the Hong Kong Housing Society, villas/bungalows/modern village houses, simple stone structures/traditional village houses and quarters in non-residential buildings. As from 1st quarter 2002, subsidised sale flats that can be traded in open market are also put under this category.",,,,,
 ,,,,,
Source:,,,,,
"General Household Survey Section (3),Census and Statistics Department(Enquiry telephone no. : 2887 5508 Enquiry e-mail : ghs@censtatd.gov.hk)",,,,,
 ,,,,,
"Release Date: 19 September, 2023",,,,,
