Reference Quarter,Project Name,Postal District,25th Percentile ($ PSF per month),Median ($ PSF per month),75th Percentile ($ PSF per month)
2012Q3,ALESSANDREA,03,3.75,3.87,4.08
2012Q3,ALEXIS,03,5.89,6.92,7.61
2012Q3,CENTRAL GREEN CONDOMINIUM,03,3.35,3.78,3.95
2012Q3,DOMAIN 21,03,4.50,4.72,4.93
2012Q3,EMERALD PARK,03,3.83,4.15,4.34
2012Q3,LANDMARK TOWER,03,2.94,3.16,3.34
2012Q3,MERAPRIME,03,4.88,5.26,5.52
2012Q3,PEARL BANK APARTMENT,03,1.18,2.57,2.94
2012Q3,QUEENS,03,4.12,4.32,4.75
2012Q3,RIVER PLACE,03,4.46,4.83,5.03
2012Q3,TANGLIN VIEW,03,4.10,4.36,4.55
2012Q3,THE ANCHORAGE,03,3.01,3.22,3.52
2012Q3,THE METROPOLITAN CONDOMINIUM,03,3.92,4.22,4.61
2012Q3,THE REGENCY AT TIONG BAHRU,03,3.94,4.26,4.59
2012Q3,TIONG BAHRU ESTATE,03,3.00,3.23,3.91
2012Q3,TWIN REGENCY,03,4.87,5.16,5.61
